#,Year,Title,Authors,Journal,Journal data,DOI
79,2015,Fractionation of Fe isotopes during Fe(II) oxidation by a marine photoferrotroph is controlled by the formation of organic Fe-complexes and colloidal Fe fractions,"Swanner, E.D., Wu, W., Schoenberg, R., Byrne, J., Michel, F.M., Pan, Y., Kappler, A.",Geochimica et Cosmochimica Acta,,https://doi.org/10.1016/j.gca.2015.05.024
80,2015,Mineral precipitation during production of geothermal fluid from a Permian Rotliegend reservoir,"Regenspurg, S., Feldbusch, E., Byrne, J., Deon, F., Driba, D.L., Henninges, J., Kappler, A., Naumann, R., Reinsch, T., Schubert, C.",Geothermics,,https://doi.org/10.1016/j.geothermics.2015.01.003
81,2015,Scale-up of the production of highly reactive biogenic magnetite nanoparticles using Geobacter sulfurreducens,"Byrne, J.M., Muhamadali, H., Coker, V.S., Cooper, J., Lloyd, J.R.",Journal of the Royal Society Interface,,https://doi.org/10.1098/rsif.2015.0240
82,2015,Impact of Long-Term Irrigation with Treated Sewage on Soil Magnetic Susceptibility and Organic Matter Content in North China,,Bulletin of environmental contamination and toxicology,,https://doi.org/10.1007/s00128-015-1562-0
83,2014,Bacterially synthesized ferrite nanoparticles for magnetic hyperthermia applications,"Céspedes, E., Byrne, J.M., Farrow, N., Moise, S., Coker, V.S., Bencsik, M., Lloyd, J.R., Telling, N.D.",Nanoscale,,https://doi.org/10.1039/c4nr03004d
84,2014,Biosynthesis of zinc substituted magnetite nanoparticles with enhanced magnetic properties,"Byrne, J.M., Coker, V.S., Cespedes, E., Wincott, P.L., Vaughan, D.J., Pattrick, R.A.D., Van Der Laan, G., Arenholz, E., Tuna, F., Bencsik, M., Lloyd, J.R., Telling, N.D.",Advanced Functional Materials,,https://doi.org/10.1002/adfm.201303230
85,2014,Iron and arsenic speciation and distribution in organic flocs from streambeds of an arsenic-enriched peatland,"Thomasarrigo, L.K., Mikutta, C., Byrne, J., Barmettler, K., Kappler, A., Kretzschmar, R.",Environmental Science and Technology,,https://doi.org/10.1021/es503550g
86,2013,Controlled cobalt doping in biogenic magnetite nanoparticles,"Byrne, J.M., Coker, V.S., Moise, S., Wincott, P.L., Vaughan, D.J., Tuna, F., Arenholz, E., Van Der Laan, G., Pattrick, R.A.D., Lloyd, J.R., Telling, N.D.",Journal of the Royal Society Interface,,https://doi.org/10.1098/rsif.2013.0134
87,2013,Fate of Cd during microbial Fe(III) mineral reduction by a novel and Cd-tolerant geobacter species,"Muehe, E.M., Obst, M., Hitchcock, A., Tyliszczak, T., Behrens, S., Schröder, C., Byrne, J.M., Michel, F.M., Krämer, U., Kappler, A.",Environmental Science and Technology,,https://doi.org/10.1021/es403365w
88,2013,Microbial reduction of Fe(III) under alkaline conditions relevant to geological disposal,"Williamson, A.J., Morris, K., Shaw, S., Byrne, J.M., Boothman, C., Lloyd, J.R.",Applied and Environmental Microbiology,,https://doi.org/10.1128/AEM.03063-12
89,2012,Characterisation of the dissimilatory reduction of Fe(III)-oxyhydroxide at the microbe - mineral interface: The application of STXM-XMCD,"Coker, V.S., Byrne, J.M., Telling, N.D., Van Der Laan, G., Lloyd, J.R., Hitchcock, A.P., Wang, J., Pattrick, R.A.D.",Geobiology,,https://doi.org/10.1111/j.1472-4669.2012.00329.x
90,2011,Biotechnological synthesis of functional nanomaterials,"Lloyd, J.R., Byrne, J.M., Coker, V.S.",Current Opinion in Biotechnology,,https://doi.org/10.1016/j.copbio.2011.06.008
91,2011,"Control of nanoparticle size, reactivity and magnetic properties during the bioproduction of magnetite by Geobacter sulfurreducens","Byrne, J.M., Telling, N.D., Coker, V.S., Pattrick, R.A.D., Van Der Laan, G., Arenholz, E., Tuna, F., Lloyd, J.R.",Nanotechnology,,https://doi.org/10.1088/0957-4484/22/45/455709
92,2008,"Microwave enhancement of superconductivity in <math display=""inline""> <mrow> <msub> <mrow> <mtext>Bi</mtext> </mrow> <mn>2</mn> </msub> <msub> <mrow> <mtext>Sr</mtext> </mrow> <mn>2</mn> </msub> <msub> <mrow> <mtext>CaCu</mtext> </mrow> <mn>2</mn> </msub> <msub> <mtext>O</mtext> <mrow> <mn>8</mn> <mo>+</mo> <mi>δ</mi> </mrow> </msub> </mrow> </math> break junctions","S. I. Vedeneev, D. K. Maude, J. M. Byrne",Physical Review B,,https://doi.org/10.1103/PHYSREVB.78.052509
