Topic,Photo,Description
Biogeobatteries,../images/research/Logo_static_v2.png," Biogeobatteries are mixed-valence minerals that store and exchange electrons without structural change. They include iron oxides, clays, sulphides, and green rust minerals widespread in subsurface environments that may drive significant energy transfer. Our work aims to understand how microbes access these minerals, unlocking their potential for low-cost, low-power energy storage in remote settings. "
Metal recovery and remediation,../images/research/project2.jpg," Biogenic and abiogenic iron minerals including magnetite and ferrihydrite are being evaluated for their capacity to sorb and immobilize critical metals (e.g., cobalt, zinc, vanadium) and toxic contaminants (e.g., arsenic, chromium, cadmium). This research seeks to develop innovative strategies for resource recovery from waste materials and to enhance water-quality remediation approaches. "
Mossbauer spectroscopy & Data analysis,../images/research/moessbauer.png," We are developing new methods for analysing data collected via analytical techniques such as Moessbauer & Raman spectroscopies, as well as X-ray diffraction through a web based platform. This ecosystem will combine user data with evolving databases to ensure rapid analysis and interpretation of both simple and complex samples. "
Environmental magnetism & climate,../images/research/envmag.jpg," This work is seeking to explain how iron metabolising bacteria produce magnetic minerals in the environment and reveal the link between such processes and climate change. For instance, high rainfall drives anoxic, reducing conditions suitable for iron reducing bacteria which form magnetite. When rainfall is low, oxic conditions prevail, microbial reduction is stopped or slowed, and magnetite formation is low. As a result changes in magnetic properties of soils and sediments can be used as proxies for past rainfall in different environments. "
